0,43.0
1,33.0
2,31.0
3,28.0
4,25.0
5,24.0
6,30.0
7,27.0
8,30.0
9,26.0
10,28.0
11,23.0
12,25.0
13,32.0
14,31.0
15,27.0
16,25.0
17,29.0
18,27.0
19,25.0
20,55.0
21,27.0
22,27.0
23,30.0
24,42.0
25,26.0
26,24.0
27,28.0
28,25.0
29,25.0
30,26.0
31,27.0
32,25.0
33,26.0
34,24.0
35,27.0
36,24.0
37,27.0
38,25.0
39,26.0
40,29.0
41,26.0
42,26.0
43,28.0
44,25.0
45,26.0
46,33.0
47,25.0
48,42.0
49,24.0
50,30.0
51,28.0
52,42.0
53,28.0
54,26.0
55,27.0
56,27.0
57,28.0
58,27.0
59,24.0
60,27.0
61,31.0
62,31.0
63,27.0
64,25.0
65,25.0
66,25.0
67,25.0
68,34.0
69,24.0
70,26.0
71,28.0
72,26.0
73,24.0
74,28.0
75,50.0
76,28.0
77,33.0
78,29.0
79,25.0
80,29.0
81,26.0
82,24.0
83,26.0
84,26.0
85,27.0
86,27.0
87,27.0
88,25.0
89,28.0
90,26.0
91,28.0
92,29.0
93,26.0
94,27.0
95,25.0
96,27.0
97,27.0
98,27.0
99,29.0
100,24.0
101,25.0
102,26.0
103,25.0
104,25.0
105,49.0
106,23.0
107,28.0
108,26.0
109,24.0
110,38.0
111,24.0
112,26.0
113,30.0
114,33.0
115,27.0
116,32.0
117,24.0
118,25.0
119,27.0
120,26.0
121,24.0
122,24.0
123,26.0
124,32.0
125,29.0
126,26.0
127,27.0
128,24.0
129,29.0
130,29.0
131,24.0
132,25.0
133,24.0
134,29.0
135,24.0
136,27.0
137,29.0
138,31.0
139,30.0
140,52.0
141,31.0
142,25.0
143,24.0
144,28.0
145,27.0
146,24.0
147,28.0
148,30.0
149,26.0
150,25.0
151,27.0
152,27.0
153,24.0
154,31.0
155,25.0
156,26.0
157,24.0
158,25.0
159,24.0
160,24.0
161,26.0
162,25.0
163,24.0
164,25.0
165,26.0
166,27.0
167,27.0
168,25.0
169,30.0
170,24.0
171,25.0
172,42.0
173,28.0
174,25.0
175,25.0
176,26.0
177,31.0
178,33.0
179,24.0
180,27.0
181,28.0
182,28.0
183,29.0
184,29.0
185,30.0
186,24.0
187,26.0
188,24.0
189,27.0
190,25.0
191,30.0
192,26.0
193,25.0
194,25.0
195,27.0
196,27.0
197,27.0
198,29.0
199,24.0
200,27.0
201,27.0
202,27.0
203,25.0
204,25.0
205,29.0
206,26.0
207,29.0
208,27.0
209,25.0
210,29.0
211,28.0
212,36.0
213,25.0
214,24.0
215,24.0
216,26.0
217,33.0
218,42.0
219,26.0
220,26.0
221,28.0
222,24.0
223,26.0
224,26.0
225,25.0
226,25.0
227,26.0
228,28.0
229,37.0
230,27.0
231,30.0
232,31.0
233,24.0
234,27.0
235,42.0
236,25.0
237,27.0
238,67.0
239,28.0
240,28.0
241,24.0
242,26.0
243,26.0
244,26.0
245,30.0
246,29.0
247,25.0
248,54.0
249,30.0
250,30.0
251,26.0
252,28.0
253,26.0
254,27.0
255,26.0
256,28.0
257,27.0
258,28.0
259,28.0
260,28.0
261,28.0
262,25.0
263,26.0
264,28.0
265,28.0
266,26.0
267,25.0
268,29.0
269,30.0
270,27.0
271,26.0
272,24.0
273,24.0
274,24.0
275,26.0
276,24.0
277,29.0
278,37.0
279,26.0
280,26.0
281,28.0
282,24.0
283,24.0
284,24.0
285,27.0
286,34.0
287,27.0
288,24.0
289,23.0
290,42.0
291,27.0
292,30.0
293,38.0
294,25.0
295,25.0
296,26.0
297,25.0
298,25.0
299,24.0
300,26.0
301,26.0
302,29.0
303,29.0
304,28.0
305,24.0
306,26.0
307,26.0
308,42.0
309,30.0
310,24.0
311,26.0
312,26.0
313,28.0
314,24.0
315,25.0
316,34.0
317,24.0
318,26.0
319,28.0
320,24.0
321,42.0
322,28.0
323,31.0
324,25.0
325,28.0
326,29.0
327,27.0
328,26.0
329,27.0
330,25.0
331,24.0
332,27.0
333,28.0
334,27.0
335,24.0
336,27.0
337,27.0
338,27.0
339,28.0
340,30.0
341,24.0
342,25.0
343,70.0
344,25.0
345,25.0
346,25.0
347,28.0
348,26.0
349,87.0
350,24.0
351,25.0
352,25.0
353,30.0
354,27.0
355,26.0
356,24.0
357,24.0
358,27.0
359,30.0
360,27.0
361,29.0
362,24.0
363,36.0
364,27.0
365,24.0
366,25.0
367,26.0
368,24.0
369,27.0
370,26.0
371,25.0
372,27.0
373,29.0
374,25.0
375,25.0
376,28.0
377,26.0
378,27.0
379,27.0
380,24.0
381,27.0
382,29.0
383,28.0
384,24.0
385,26.0
386,27.0
387,26.0
388,29.0
389,26.0
390,29.0
